Time Units = Minutes

  Process:  Single Loop Jacketed Reactor


  Controller:  PID ( P= DA, I= ARW, D= off, F = off)

  Tuning: Gain = -3.06 [%/°C] , Reset Time = 1.99 [min], Sample Time = 1.0 [sec]

        Time     Controller   Process
       (Min)       Output     Variable   Set Point   Disturbance
        3.60   33.727797   90.638343       92.00       45.00
   3.6166667   33.621493   90.615201       92.00       45.00
   3.6333333   33.575398   90.611764       92.00       45.00
        3.65   33.563813    90.61954       92.00       45.00
   3.6666667   33.554681   90.628046       92.00       45.00
   3.6833333   33.549934   90.637903       92.00       45.00
        3.70    33.50528   90.634744       92.00       45.00
   3.7166667   33.486892   90.640124       92.00       45.00
   3.7333333   33.449951   90.639447       92.00       45.00
        3.75   33.398969   90.634225       92.00       45.00
   3.7666667   33.397575   90.645116       92.00       45.00
   3.7833333   33.427772   90.666156       92.00       45.00
        3.80   33.360183    90.65533       92.00       45.00
   3.8166667    33.33525   90.658418       92.00       45.00
   3.8333333   33.281974   90.652295       92.00       45.00
        3.85   33.273768   90.660829       92.00       45.00
   3.8666667   33.206261   90.650074       92.00       45.00
   3.8833333   33.240035   90.672231       92.00       45.00
        3.90   33.191299   90.667465       92.00       45.00
   3.9166667   33.192409   90.678892       92.00       45.00
   3.9333333   33.243026   90.706269       92.00       45.00
        3.95   33.245471   90.717807       92.00       45.00
   3.9666667   33.137553   90.693482       92.00       45.00
   3.9833333   33.210206   90.727879       92.00       45.00
        4.00   33.106578    90.70486       92.00       45.00
   4.0166667   33.072435   90.704552       92.00       45.00
   4.0333333    33.11589   90.729395       92.00       45.00
        4.05   33.006609   90.704532       92.00       45.00
   4.0666667   33.053687   90.730549       92.00       45.00
   4.0833333   33.045305   90.738376       92.00       45.00
        4.10   33.089692    90.76324       92.00       45.00
   4.1166667   33.072419   90.767914       92.00       45.00
   4.1333333   33.004042   90.755987       92.00       45.00
        4.15   33.015205   90.769937       92.00       45.00
   4.1666667   32.963898   90.763526       92.00       45.00
   4.1833333   32.904654   90.754596       92.00       45.00
        4.20   32.933119   90.774165       92.00       45.00
   4.2166667   32.935361   90.785073       92.00       45.00
   4.2333333   32.989239   90.812624       92.00       45.00
        4.25   32.939124   90.806245       92.00       45.00
   4.2666667   32.886127   90.798984       92.00       45.00
   4.2833333   32.894949   90.811819       92.00       45.00
        4.30   32.887909   90.819406       92.00       45.00
   4.3166667   32.915395   90.838119       92.00       45.00
   4.3333333   32.883283   90.837362       92.00       45.00
        4.35   32.907934   90.855008       92.00       45.00
   4.3666667   32.812606   90.833623       92.00       45.00
   4.3833333   32.812247   90.843195       92.00       45.00
        4.40   32.789939   90.845573       92.00       45.00
   4.4166667   32.750206   90.842285       92.00       45.00
   4.4333333   32.836242   90.879783       92.00       45.00
        4.45   32.892187   90.907218       92.00       45.00
   4.4666667   32.825812   90.894783       92.00       45.00
   4.4833333   32.877938   90.920856       92.00       45.00
        4.50   32.876167   90.929245       92.00       45.00
   4.5166667   32.800691   90.913678       92.00       45.00
   4.5333333   32.791063    90.91958       92.00       45.00
        4.55   32.751781   90.915823       92.00       45.00
   4.5666667   32.727435   90.916938       92.00       45.00
   4.5833333   32.726855   90.925745       92.00       45.00
        4.60   32.768825   90.948269       92.00       45.00
   4.6166667    32.73788   90.946976       92.00       45.00
   4.6333333   32.721796   90.950509       92.00       45.00
        4.65   32.740964   90.965438       92.00       45.00
   4.6666667   32.759385   90.980001       92.00       45.00
   4.6833333   32.720973   90.976024       92.00       45.00
        4.70      32.747   90.992964       92.00       45.00
   4.7166667    32.76837   91.008253       92.00       45.00
   4.7333333   32.710435   90.997715       92.00       45.00
        4.75   32.669828   90.992879       92.00       45.00
   4.7666667    32.60137   90.979058       92.00       45.00
   4.7833333   32.716926   91.024987       92.00       45.00
        4.80   32.732507   91.038135       92.00       45.00
   4.8166667   32.786809   91.063722       92.00       45.00
   4.8333333   32.737921   91.055655       92.00       45.00
        4.85   32.811786   91.087436       92.00       45.00
   4.8666667   32.754655   91.076501       92.00       45.00
   4.8833333   32.799722   91.098776       92.00       45.00
        4.90   32.821881   91.113443       92.00       45.00
   4.9166667   32.719504   91.087628       92.00       45.00
   4.9333333   32.715557   91.093927       92.00       45.00
        4.95    32.72479   91.104444       92.00       45.00
   4.9666667   32.747716   91.119312       92.00       45.00
   4.9833333   32.792534   91.141152       92.00       45.00
        5.00   32.787482   91.146648       92.00       45.00
   5.0166667   32.772228   91.148792       92.00       45.00
   5.0333333   32.747805   91.147947       92.00       45.00
        5.05    32.79761   91.171165       92.00       45.00
   5.0666667    32.84507    91.19343       92.00       45.00
   5.0833333   32.793863   91.183533       92.00       45.00
        5.10   32.789846   91.189013       92.00       45.00
   5.1166667   32.845948    91.21393       92.00       45.00
   5.1333333   32.762338   91.193362       92.00       45.00
        5.15   32.865227   91.233407       92.00       45.00
   5.1666667   32.716692   91.191636       92.00       45.00
   5.1833333   32.731702   91.203214       92.00       45.00
        5.20   32.819027   91.238133       92.00       45.00
   5.2166667    32.94454   91.285137       92.00       45.00
   5.2333333   32.787899    91.24031       92.00       45.00
        5.25   32.835079    91.26191       92.00       45.00
   5.2666667   32.813194   91.260948       92.00       45.00
   5.2833333    32.77118    91.25347       92.00       45.00
        5.30   32.866739    91.29064       92.00       45.00
   5.3166667   32.861772   91.294921       92.00       45.00
   5.3333333    32.98355   91.340244       92.00       45.00
        5.35   32.805263   91.287944       92.00       45.00
   5.3666667   32.902872   91.325491       92.00       45.00
   5.3833333   32.737069    91.27736       92.00       45.00
        5.40   32.824925   91.311834       92.00       45.00
   5.4166667   32.846975   91.324696       92.00       45.00
   5.4333333   32.951707   91.364247       92.00       45.00
        5.45   32.857962   91.339146       92.00       45.00
   5.4666667   32.810863   91.329371       92.00       45.00
   5.4833333   32.820406   91.338033       92.00       45.00
        5.50    32.88775   91.365357       92.00       45.00
   5.5166667   32.909199   91.377579       92.00       45.00
   5.5333333   32.943746   91.393945       92.00       45.00
        5.55     33.0054   91.418959       92.00       45.00
   5.5666667   32.902684   91.390497       92.00       45.00
   5.5833333    32.97152   91.417868       92.00       45.00
        5.60   32.914214   91.404131       92.00       45.00
   5.6166667    32.91325   91.408767       92.00       45.00
   5.6333333   33.011742   91.445598       92.00       45.00
        5.65   32.998973   91.446064       92.00       45.00
   5.6666667   32.907909   91.421152       92.00       45.00
   5.6833333   32.962947   91.443797       92.00       45.00
        5.70   32.931116   91.438101       92.00       45.00
   5.7166667   33.043532     91.4792       92.00       45.00
   5.7333333   33.045678   91.484221       92.00       45.00
        5.75   32.985462    91.46899       92.00       45.00
   5.7666667   32.926102   91.454163       92.00       45.00
   5.7833333   32.915109   91.455133       92.00       45.00
        5.80   33.022152    91.49435       92.00       45.00
   5.8166667   32.979904   91.484858       92.00       45.00
   5.8333333   32.973392   91.487026       92.00       45.00
        5.85    33.02529   91.508106       92.00       45.00
   5.8666667   33.031987   91.514361       92.00       45.00
   5.8833333   33.048165   91.523638       92.00       45.00
        5.90   32.960331   91.499129       92.00       45.00
   5.9166667   33.051344   91.532785       92.00       45.00
   5.9333333   32.998366   91.519496       92.00       45.00
        5.95   33.068145   91.546101       92.00       45.00
   5.9666667   33.001307    91.52821       92.00       45.00
   5.9833333   33.052824   91.548824       92.00       45.00
        6.00   33.083349   91.562464       92.00       45.00
   6.0166667   33.042245   91.552777       92.00       45.00
   6.0333333   33.090845   91.572242       92.00       45.00
        6.05   33.104589   91.580249       92.00       45.00
   6.0666667   33.150272   91.598541       92.00       45.00
   6.0833333   33.063341   91.573702       92.00       45.00
        6.10    33.04987   91.572877       92.00       45.00
   6.1166667   33.052135   91.577159       92.00       45.00
   6.1333333    33.17386    91.62012       92.00       45.00
        6.15   33.057653   91.585614       92.00       45.00
   6.1666667   33.159198   91.621965       92.00       45.00
   6.1833333   33.089665    91.60257       92.00       45.00
        6.20   33.095658   91.607813       92.00       45.00
   6.2166667   33.239522   91.657694       92.00       45.00
   6.2333333    33.09216    91.61278       92.00       45.00
