Time Units = Minutes

  Process:  Single Loop Jacketed Reactor


  Controller:  Manual Mode

  

        Time     Controller   Process
       (Min)       Output     Variable   Set Point   Disturbance
   8.7166667       80.00   82.385234   82.385234       50.00
   8.7333333       80.00   82.375001   82.375001       50.00
        8.75       80.00   82.397112   82.397112       50.00
   8.7666667       80.00   82.383517   82.383517       50.00
   8.7833333       80.00   82.377603   82.377603       50.00
        8.80       80.00   82.395445   82.395445       50.00
   8.8166667       80.00   82.392756   82.392756       50.00
   8.8333333       80.00   82.403801   82.403801       50.00
        8.85       80.00   82.419263   82.419263       50.00
   8.8666667       80.00   82.415572   82.415572       50.00
   8.8833333       80.00   82.419109   82.419109       50.00
        8.90       80.00   82.411683   82.411683       50.00
   8.9166667       80.00   82.393272   82.393272       50.00
   8.9333333       80.00   82.406092   82.406092       50.00
        8.95       80.00   82.410678   82.410678       50.00
   8.9666667       80.00   82.420364   82.420364       50.00
   8.9833333       80.00   82.396418   82.396418       50.00
        9.00       80.00   82.428781   82.428781       50.00
   9.0166667       80.00   82.414333   82.414333       50.00
   9.0333333       80.00   82.407542   82.407542       50.00
        9.05       80.00   82.427735   82.427735       50.00
   9.0666667       80.00   82.439314   82.439314       50.00
   9.0833333       80.00    82.42992    82.42992       50.00
        9.10       80.00   82.437153   82.437153       50.00
   9.1166667       80.00   82.423035   82.423035       50.00
   9.1333333       80.00    82.44464    82.44464       50.00
        9.15       80.00   82.437236   82.437236       50.00
   9.1666667       80.00   82.451781   82.451781       50.00
   9.1833333       80.00    82.43862    82.43862       50.00
        9.20       80.00   82.423352   82.423352       50.00
   9.2166667       80.00   82.444879   82.444879       50.00
   9.2333333       80.00   82.447751   82.447751       50.00
        9.25       80.00   82.449489   82.449489       50.00
   9.2666667       80.00   82.427829   82.427829       50.00
   9.2833333       80.00   82.437869   82.437869       50.00
        9.30       80.00   82.423156   82.423156       50.00
   9.3166667       80.00   82.466591   82.466591       50.00
   9.3333333       80.00   82.455089   82.455089       50.00
        9.35       80.00   82.471632   82.471632       50.00
   9.3666667       80.00   82.447335   82.447335       50.00
   9.3833333       80.00   82.492996   82.492996       50.00
        9.40       80.00   82.443569   82.443569       50.00
   9.4166667       80.00   82.471231   82.471231       50.00
