Time Units = Minutes

  Process:  Single Loop Jacketed Reactor


  Controller:  PID ( P= DA, I= ARW, D= off, F = off)

  Tuning: Gain = -4.0 [%/°C] , Reset Time = 4.0 [min], Sample Time = 1.0 [sec]

        Time     Controller   Process
       (Min)       Output     Variable   Set Point   Disturbance
   4.6833333       67.10   85.022701   85.022701       50.00
        4.70       67.10   85.007415   85.007415       50.00
   4.7166667       67.10    85.00353    85.00353       50.00
   4.7333333       67.10   85.024118   85.024118       50.00
        4.75       67.10   85.002162   85.002162       50.00
   4.7666667       67.10   85.005365   85.005365       50.00
   4.7833333       67.10   85.012934   85.012934       50.00
        4.80       67.10   84.990232   84.990232       50.00
   4.8166667       67.10   84.971352   84.971352       50.00
   4.8333333       67.10   84.966021   84.966021       50.00
        4.85       67.10   84.977041   84.977041       50.00
   4.8666667       67.10   84.991862   84.991862       50.00
   4.8833333       67.10   85.013787   85.013787       50.00
        4.90       67.10   84.988246   84.988246       50.00
   4.9166667       67.10   85.003974   85.003974       50.00
   4.9333333       67.10   85.012642   85.012642       50.00
        4.95       67.10   84.968934   84.968934       50.00
   4.9666667       67.10   85.017236   85.017236       50.00
   4.9833333       67.10   84.995904   84.995904       50.00
        5.00       67.10   85.013987   85.013987       50.00
   5.0166667       67.10   84.983747   84.983747       50.00
   5.0333333       67.10   85.023372   85.023372       50.00
        5.05       67.10   85.028547   85.028547       50.00
   5.0666667       67.10   84.991912   84.991912       50.00
   5.0833333       67.10   85.000228   85.000228       50.00
        5.10       67.10   84.977306   84.977306       50.00
   5.1166667       67.10   84.986734   84.986734       50.00
   5.1333333       67.10   85.012562   85.012562       50.00
        5.15       67.10   84.983311   84.983311       50.00
   5.1666667       67.10   84.998717   84.998717       50.00
   5.1833333       67.10   84.983171   84.983171       50.00
        5.20       67.10   84.997706   84.997706       50.00
   5.2166667       67.10   85.020439   85.020439       50.00
   5.2333333       67.10   84.976084   84.976084       50.00
        5.25       67.10   85.033396   85.033396       50.00
   5.2666667       67.10   85.005273   85.005273       50.00
   5.2833333       67.10   85.007496   85.007496       50.00
        5.30       67.10   85.009138   85.009138       50.00
   5.3166667       67.10   84.985986   84.985986       50.00
   5.3333333       67.10   84.995682   84.995682       50.00
        5.35       67.10   84.982742   84.982742       50.00
   5.3666667       67.10   85.006839   85.006839       50.00
   5.3833333       67.10   85.009981   85.009981       50.00
        5.40       67.10   85.002677   85.002677       50.00
   5.4166667       67.10   85.014774   85.014774       50.00
   5.4333333       67.10   85.019043   85.019043       50.00
        5.45       67.10   84.997863   84.997863       50.00
   5.4666667       67.10   84.982565   84.982565       50.00
   5.4833333       67.10   85.007728   85.007728       50.00
        5.50       67.10   84.997439   84.997439       50.00
   5.5166667       67.10   85.027782   85.027782       50.00
   5.5333333       67.10   84.980459   84.980459       50.00
        5.55       67.10   85.016782   85.016782       50.00
   5.5666667       67.10   85.002089   85.002089       50.00
   5.5833333       67.10   85.006665   85.006665       50.00
        5.60       67.10    85.00857    85.00857       50.00
   5.6166667       67.10   85.024283   85.024283       50.00
   5.6333333       67.10   85.018022   85.018022       50.00
        5.65       67.10   85.028863   85.028863       50.00
   5.6666667       67.10   85.012811   85.012811       50.00
   5.6833333       67.10   85.024654   85.024654       50.00
        5.70       67.10   84.998112   84.998112       50.00
   5.7166667       67.10   85.009802   85.009802       50.00
   5.7333333       67.10   84.986189   84.986189       50.00
        5.75       67.10   85.005569   85.005569       50.00
   5.7666667       67.10    85.00457    85.00457       50.00
   5.7833333       67.10   84.990569   84.990569       50.00
        5.80       67.10   85.022994   85.022994       50.00
   5.8166667       67.10   84.992995   84.992995       50.00
   5.8333333       67.10   84.985497   84.985497       50.00
        5.85       67.10   85.003394   85.003394       50.00
   5.8666667       67.10   85.036255   85.036255       50.00
   5.8833333       67.10   84.981224   84.981224       50.00
        5.90       67.10   85.012535   85.012535       50.00
   5.9166667       67.10   85.003169   85.003169       50.00
   5.9333333       67.10   84.983285   84.983285       50.00
        5.95       67.10   85.002168   85.002168       50.00
   5.9666667       67.10   84.989302   84.989302       50.00
   5.9833333       67.10   85.007328   85.007328       50.00
        6.00       67.10   85.008474   85.008474       50.00
   6.0166667       67.10   84.969634   84.969634       50.00
   6.0333333       67.10   85.017978   85.017978       50.00
        6.05       67.10   85.017931   85.017931       50.00
   6.0666667       67.10   85.000467   85.000467       50.00
   6.0833333       67.10    85.02257    85.02257       50.00
        6.10       67.10   85.009619   85.009619       50.00
   6.1166667       67.10   85.006964   85.006964       50.00
   6.1333333       67.10   85.014754   85.014754       50.00
        6.15       67.10   85.003937   85.003937       50.00
   6.1666667       67.10   85.009091   85.009091       50.00
   6.1833333       67.10   85.021222   85.021222       50.00
        6.20       67.10   85.008872   85.008872       50.00
   6.2166667       67.10   85.019026   85.019026       50.00
   6.2333333       67.10   85.006878   85.006878       50.00
        6.25       67.10   84.986577   84.986577       50.00
   6.2666667       67.10   84.970177   84.970177       50.00
   6.2833333       67.10   84.983482   84.983482       50.00
        6.30       67.10   85.009174   85.009174       50.00
   6.3166667       67.10   85.022969   85.022969       50.00
   6.3333333       67.10   85.004444   85.004444       50.00
        6.35       67.10   85.019822   85.019822       50.00
   6.3666667       67.10   84.955992   84.955992       50.00
   6.3833333       67.10   85.012253   85.012253       50.00
        6.40       67.10   84.988901   84.988901       50.00
   6.4166667       67.10   84.970948   84.970948       50.00
   6.4333333       67.10   85.009314   85.009314       50.00
        6.45       67.10   84.969534   84.969534       50.00
   6.4666667       67.10   84.992959   84.992959       50.00
   6.4833333       67.10    84.97439    84.97439       50.00
        6.50       67.10   84.997121   84.997121       50.00
   6.5166667       67.10   85.019359   85.019359       50.00
   6.5333333       67.10   85.014256   85.014256       50.00
        6.55       67.10   85.023408   85.023408       50.00
   6.5666667       67.10   85.014858   85.014858       50.00
